source,row,stage,kind,cohort,task,engine,model,repeat,success,task_ms,setup_ms,routing_ms,driver_ms,primary_ms,jev_ms,primary_calls,jev_calls,known_usd,primary_cost_unknown,state,end_reason,error
docs/benchmarks/jev-2026-09-17.json,61,historical,final,historical/final,scroll,classic,gpt-5.6-sol,1,True,16220.507721000002,184.78783500008285,,,16139.681877999916,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,62,historical,final,historical/final,scroll,jev-hybrid,gpt-5.6-sol,1,True,15693.847299000015,191.77176500018686,,,15612.221982999472,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,63,historical,final,historical/final,scroll,jev-hybrid,gpt-5.6-sol,2,True,18675.597169999965,188.0827419999987,,,18576.18771900027,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,64,historical,final,historical/final,scroll,classic,gpt-5.6-sol,2,True,17997.683749000076,197.01322199986316,,,17913.997694000136,0,7,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,65,historical,final,historical/final,scroll,classic,gpt-5.6-sol,3,True,14228.091538000153,195.74609000002965,,,14151.919285999844,0,8,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,66,historical,final,historical/final,scroll,jev-hybrid,gpt-5.6-sol,3,True,25326.873691000044,197.21727200015448,,,25218.685564000625,0,9,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,67,historical,final,historical/final,scroll,jev-hybrid,gpt-5.6-sol,4,True,14600.57224499993,192.61011899984442,,,14500.81715899962,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,68,historical,final,historical/final,scroll,classic,gpt-5.6-sol,4,True,12654.619778999826,191.35839199996553,,,12579.937552000163,0,4,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,69,historical,final,historical/final,scroll,classic,gpt-5.6-sol,5,True,15688.982006999897,187.95610700012185,,,15597.823677000357,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,70,historical,final,historical/final,scroll,jev-hybrid,gpt-5.6-sol,5,True,22084.651003000094,186.02042399998754,,,21952.54297800013,0,8,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,71,historical,final,historical/final,disclosure,classic,gpt-5.6-sol,1,True,10599.54294900014,190.69607399986126,,,10528.772017000243,0,4,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,72,historical,final,historical/final,disclosure,jev-hybrid,gpt-5.6-sol,1,True,12848.123954000184,187.51603299984708,,,12785.751962999813,0,4,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,73,historical,final,historical/final,disclosure,jev-hybrid,gpt-5.6-sol,2,True,10840.057637999998,187.28980000014417,,,10780.89571000007,0,4,0,0,True,completed,final_answer,
